S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
114,GEN,Pongalur,Kandaswamy P.,AIADMK,46535,57.77,Palanisamy N. S.,Independent,30934,38.4,15601,115546,86030,74.50%
115,GEN,Palladam,P. N. Paramasiva Gounder,AIADMK,51083,53.97,Sivasamy,Independent,40510,42.8,10573,138075,99842,72.30%
116,GEN,Tiruppur,K. Subbarayan,CPI,51874,40.92,Manimaran. R.,AIADMK,50634,39.94,1240,182124,133971,73.60%
117,GEN,Kangayam,K. C. Palanisamy,AIADMK,54252,57.78,M. Sivasabapathy,DMK,37495,39.94,16757,130059,99028,76.10%
118,GEN,Modakkurichi,S. Balakrishnan,AIADMK,65641,56.56,A. Ganeshamurthy,DMK,48315,41.63,17326,154501,120122,77.70%
119,GEN,Perundurai,A. Ponnusamy,AIADMK,60830,64.34,T. K. Nallappan,CPI,32465,34.34,28365,134058,99378,74.10%
120,GEN,Erode,S. Muthusamy,AIADMK,71722,53.5,Subbulakshmi Jagadeesan,DMK,60075,44.81,11647,189520,138433,73.00%
121,GEN,Bhavani,P. G. Narayanan,AIADMK,58350,63.3,N. K. K. Periasamy,DMK,33116,35.93,25234,124086,95866,77.30%
122,SC,Anthiyur,U. P. Mathaiyan,AIADMK,53825,69.75,Lakshmi S.,DMK,22479,29.13,31346,114321,80329,70.30%
123,GEN,Gobichettipalayam,K. A. Sengottaiyan,AIADMK,56884,63.08,Andamuthu M.,DMK,31879,35.35,25005,120286,93622,77.80%
124,GEN,Bhavanisagar,V. K. Chinnasamy,AIADMK,52539,59.06,Vellingiri S. Alias Giri S. V.,JP,35743,40.18,16796,123478,93785,76.00%
125,GEN,Sathyamangalam,E. V. K. S. Elangovan,INC,50725,62.97,Subramaniam T. K.,DMK,25006,31.04,25719,117272,85939,73.30%
126,SC,Coonoor,M. Sivakumar,AIADMK,47113,56.7,M. Ranganathan,DMK,34990,42.11,12123,123350,87059,70.60%
127,GEN,Udhagamandalam,K. Kallan,INC,52145,62.99,Mahalingam S. A.,DMK,29345,35.45,22800,124026,85712,69.10%
128,GEN,Gudalur,K. Hutchi Gowder,AIADMK,52470,57.8,K. Karuppusamy,DMK,36013,39.67,16457,132008,94751,71.80%
